Polling Firm,Commissioner,Date,Sample Size,New Democracy,Coalition of the Left,Movement for Change,Communist Party of Greece,Greek Solution,Niki,Course of Freedom,European Realistic Disobedience Front,Spartans,Others
Pulse RC,Skai,2023-06-22,1021,40.6,20.0,11.9,7.6,3.8,3.8,3.8,2.1,3.1,
Marc,Ant1,2023-06-22,1506,42.3,19.3,11.9,7.4,4.0,3.3,3.8,2.3,2.8,
MRB,Open,2023-06-22,1000,40.5,20.1,11.7,7.5,3.8,3.5,3.9,2.7,3.4,
Real Polls,One Voice,2023-06-21,4626,42.9,20.2,11.7,6.0,3.0,2.2,2.5,2.8,5.5,
Palmos Analysis,tvxs.gr,2023-06-22,1023,41.8,18.6,13.3,7.4,3.5,3.6,3.8,2.2,2.9,
Rass,iefimerida.gr,2023-06-22,1005,43.0,17.1,13.8,8.1,3.8,2.9,4.1,2.7,2.5,
GPO,Star,2023-06-22,1000,43.9,19.6,11.8,7.5,4.1,3.0,3.3,2.5,2.7,
Pulse RC,Skai,2023-06-20,1016,40.5,20.0,11.9,7.0,3.8,3.8,3.8,2.1,2.7,
Alco,Alpha,2023-06-21,1403,42.3,19.7,11.1,7.2,3.7,3.0,3.6,2.1,2.2,
Interview,Politic.gr,2023-06-19,2005,42.1,21.4,10.0,6.4,4.6,2.1,3.6,2.7,2.2,
MRB,Newsbomb,2023-06-19,1000,41.0,20.0,11.5,7.0,4.0,3.4,4.4,2.7,2.5,
RASS,Action24,2023-06-16,1110,42.9,17.9,12.3,8.1,4.1,3.0,4.0,2.8,2.4,
Metron Analysis,Mega TV,2023-06-16,1000,40.6,19.6,11.5,6.8,4.7,3.9,4.7,2.5,2.8,
GPO,Parapolitika,2023-06-14,1000,44.5,18.9,12.4,6.9,3.7,3.1,3.7,2.7,2.2,
Opinion Poll,The TOC,2023-06-14,1001,41.4,20.2,11.0,7.5,4.1,3.3,3.9,2.8,1.5,
Pulse RC,Skai,2023-06-12,1308,42.0,19.5,12.0,7.0,4.0,4.0,4.5,1.8,1.8,
Marc,ANT1,2023-06-11,1501,42.0,19.8,11.2,7.3,4.0,3.3,5.2,2.1,1.5,
Metron Analysis,Mega TV,2023-06-10,1200,40.3,19.2,11.1,6.7,5.0,3.3,5.5,3.3,0,
Alco,Alpha,2023-06-10,1200,43.1,19.7,11.5,6.6,3.6,3.8,4.7,1.8,0,
GPO,Ta Nea,2023-06-08,1000,43.9,20.9,12.2,6.9,3.2,3.6,4.7,2.2,0,
MRB,Open,2023-06-07,1000,41.2,20.0,11.4,7.0,4.4,4.1,4.8,2.4,0,
GPO,Parapolitika,2023-05-31,1000,43.9,22.1,12.2,6.7,3.9,3.3,4.6,1.7,0,
Marc,Proto Thema,2023-05-31,3008,42.2,20.9,11.4,7.4,4.1,3.8,4.7,2.4,0,
Metron Analysis,Mega TV,2023-05-30,1202,41.0,19.1,11.7,7.6,4.4,3.8,4.8,2.5,0,
Κάπα Research,Alpha TV,2023-05-23,1002,41.3,19.5,14.4,7.2,4.6,3.5,3.9,2.0,0,

